book_id,title,authors,average_rating,num_of_pages,ratings_count,text_reviews_count,publisher,ratings_dist,indices,distance
1,Harry Potter and the Half-Blood Prince (Harry Potter  #6),J.K. Rowling/Mary GrandPré,4.57,652,2095690,27591,Scholastic Inc.,4,"[0, 2114, 23, 1, 2116, 4415]","[0.0, 16203.576685707387, 36051.17575120262, 57500.521328127106, 59029.286687136075, 198400.36151938458]"
2,Harry Potter and the Order of the Phoenix (Harry Potter  #5),J.K. Rowling/Mary GrandPré,4.49,870,2153167,29221,Scholastic Inc.,4,"[1, 23, 2114, 0, 2116, 4415]","[0.0, 28789.06240253232, 41426.26377448973, 57500.521328127106, 116529.22368940806, 140903.2480037451]"
4,Harry Potter and the Chamber of Secrets (Harry Potter  #2),J.K. Rowling,4.42,352,6333,244,Scholastic,4,"[2, 254, 8166, 839, 10615, 7824]","[0.0, 77.3889714365038, 78.23977505080137, 85.90173979611822, 98.07404549624738, 110.69824930864986]"
5,Harry Potter and the Prisoner of Azkaban (Harry Potter  #3),J.K. Rowling/Mary GrandPré,4.56,435,2339585,36325,Scholastic Inc.,4,"[3, 4415, 307, 1462, 1, 1697]","[0.0, 45651.31333291081, 80564.4579665804, 117725.89473254218, 186553.81734235538, 191340.190127647]"
8,Harry Potter Boxed Set  Books 1-5 (Harry Potter  #1-5),J.K. Rowling/Mary GrandPré,4.78,2690,41428,164,Scholastic,4,"[4, 1643, 7870, 4143, 5456, 3624]","[0.0, 2022.5205749509694, 2100.808411088455, 2133.7662823280343, 2346.928741653653, 2396.7604403444248]"
9,"Unauthorized Harry Potter Book Seven News: ""Half-Blood Prince"" Analysis and Speculation",W. Frederick Zimmerman,3.74,152,19,1,Nimble Books,3,"[5, 10422, 745, 549, 389, 957]","[0.0, 6.1644464471678235, 6.405942553598183, 7.1495174662350465, 7.2479583332135675, 8.157671236327191]"
10,Harry Potter Collection (Harry Potter  #1-6),J.K. Rowling,4.73,3342,28242,808,Scholastic,4,"[6, 7466, 8162, 10543, 4449, 2519]","[0.0, 2562.984452254832, 2626.668175769448, 2651.4813034226736, 2774.3484237564685, 2818.0634217313136]"
12,The Ultimate Hitchhiker's Guide: Five Complete Novels and One Story (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,4.38,815,3628,254,Gramercy Books,4,"[7, 2065, 1344, 3304, 1225, 1002]","[0.0, 91.9486949336422, 95.90827336575296, 161.73435132957997, 164.86446433358523, 166.0095927951153]"
13,The Ultimate Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,4.38,815,249558,4080,Del Rey Books,4,"[8, 6427, 152, 2648, 12, 2950]","[0.0, 2454.067472585055, 3179.13309120584, 4289.831008140064, 5416.022251514482, 6756.151725420323]"
14,The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1),Douglas Adams,4.22,215,4930,460,Crown,4,"[9, 4112, 10229, 8469, 8344, 4424]","[0.0, 43.11779678972478, 101.20600822085613, 103.47486844640103, 125.40401947306154, 131.68250035596984]"
